자전거번호,대여 대여소번호,대여 대여소명,from_lat,from_lng,반납일시,반납대여소번호,반납대여소명,to_lat,to_lng
SPB-54632,2724,(재)FITI시험연구원,37.56848526,126.8385696,2022.12.1 0:26,2721,등촌1-10단지 교차로,37.56320572,126.8393631
SPB-63519,2658,가락몰 업무동,37.49535751,127.1156921,2022.12.1 0:06,2641,송파역 4번출구,37.50004959,127.1115112
SPB-61107,2658,가락몰 업무동,37.49535751,127.1156921,2022.12.1 5:28,2658,가락몰 업무동,37.49535751,127.1156921
SPB-58390,2711,가로공원공영주차장 1번 출구,37.53736115,126.8374481,2022.12.1 1:11,2737,까치산역 3번 출구,37.53158951,126.8466415
SPB-52557,2711,가로공원공영주차장 1번 출구,37.53736115,126.8374481,2022.12.1 1:42,777,신월6차보람아파트 앞,37.53012848,126.8347778
SPB-64603,1063,강동롯데캐슬퍼스트 아파트(관리동),37.55666351,127.1427383,2022.12.1 5:18,1072,고덕역 5번출구,37.55486298,127.1537247
SPB-48613,3215,강변삼성래미안,37.52974319,126.9078293,2022.12.1 6:09,296,KT플라자 영등포점,37.52630234,126.9053803
SPB-61800,2706,강서공업고등학교 앞,37.57631683,126.8164978,2022.12.1 6:02,2740,마곡레포츠센터,37.57297516,126.8324432
SPB-34130,2744,강서세무서 앞,37.56209183,126.8209686,2022.12.1 5:27,2715,마곡나루역 2번 출구,37.56692505,126.8274384
SPB-58592,2744,강서세무서 앞,37.56209183,126.8209686,2022.12.1 6:16,2715,마곡나루역 2번 출구,37.56692505,126.8274384
SPB-44231,3569,건대병원후문,37.53956604,127.0724411,2022.12.1 0:57,3569,건대병원후문,37.53956604,127.0724411
SPB-44231,3569,건대병원후문,37.53956604,127.0724411,2022.12.1 1:08,3569,건대병원후문,37.53956604,127.0724411
SPB-44231,3569,건대병원후문,37.53956604,127.0724411,2022.12.1 1:15,3569,건대병원후문,37.53956604,127.0724411
SPB-44231,3569,건대병원후문,37.53956604,127.0724411,2022.12.1 1:31,3569,건대병원후문,37.53956604,127.0724411
SPB-44231,3569,건대병원후문,37.53956604,127.0724411,2022.12.1 1:44,3569,건대병원후문,37.53956604,127.0724411
SPB-44231,3569,건대병원후문,37.53956604,127.0724411,2022.12.1 3:39,3569,건대병원후문,37.53956604,127.0724411
SPB-44231,3569,건대병원후문,37.53956604,127.0724411,2022.12.1 4:54,3569,건대병원후문,37.53956604,127.0724411
SPB-65086,2095,경문고등학교 앞,37.49150085,126.9824066,2022.12.1 2:01,2230,이수역 4번 출구,37.4858284,126.9826279
SPB-56096,2902,공릉풍림아파트 108동,37.62862015,127.0669098,2022.12.1 5:29,2902,공릉풍림아파트 108동,37.62862015,127.0669098
SPB-64281,2902,공릉풍림아파트 108동,37.62862015,127.0669098,2022.12.1 5:48,2902,공릉풍림아파트 108동,37.62862015,127.0669098
